Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
15,Florida,6.12%,5.45%,6.86%,12.84%,11.44%,14.38%,10.40%,9.14%,11.80%,5.52%,4.78%,6.35%
16,Georgia,6.72%,5.81%,7.77%,10.14%,8.57%,11.96%,9.39%,7.82%,11.23%,6.26%,5.26%,7.44%
17,Hawaii,5.37%,4.48%,6.42%,10.99%,8.96%,13.41%,9.43%,7.62%,11.62%,4.78%,3.82%,5.96%
18,Idaho,7.62%,6.51%,8.89%,15.93%,13.56%,18.61%,11.17%,9.16%,13.56%,7.02%,5.81%,8.46%
19,Illinois,5.62%,4.90%,6.43%,12.46%,10.88%,14.22%,9.54%,8.18%,11.10%,4.97%,4.20%,5.88%
20,Indiana,7.69%,6.53%,9.03%,14.70%,12.42%,17.31%,12.37%,10.29%,14.79%,6.87%,5.61%,8.38%
21,Iowa,6.69%,5.68%,7.87%,14.09%,11.91%,16.59%,10.82%,8.98%,12.98%,5.96%,4.84%,7.31%
22,Kansas,7.21%,6.12%,8.47%,12.53%,10.52%,14.87%,10.91%,8.92%,13.27%,6.54%,5.35%,7.96%
23,Kentucky,7.55%,6.46%,8.80%,11.72%,9.76%,14.02%,11.05%,9.21%,13.21%,6.97%,5.76%,8.42%
24,Louisiana,6.49%,5.44%,7.73%,10.15%,8.28%,12.40%,7.79%,6.23%,9.71%,6.27%,5.10%,7.68%
25,Maine,7.21%,6.08%,8.52%,14.25%,12.08%,16.74%,12.28%,10.09%,14.87%,6.53%,5.31%,8.00%
26,Maryland,6.71%,5.72%,7.85%,12.69%,10.55%,15.19%,11.41%,9.42%,13.76%,5.97%,4.91%,7.25%
27,Massachusetts,7.48%,6.39%,8.75%,13.72%,11.52%,16.26%,12.55%,10.30%,15.20%,6.60%,5.43%,8.02%
28,Michigan,6.84%,6.10%,7.66%,13.27%,11.70%,15.01%,11.34%,9.88%,12.99%,6.08%,5.28%,6.99%
29,Minnesota,7.02%,5.98%,8.23%,13.39%,11.28%,15.82%,11.12%,9.23%,13.33%,6.37%,5.24%,7.72%
30,Mississippi,6.04%,5.05%,7.21%,10.78%,8.89%,13.02%,8.28%,6.68%,10.21%,5.65%,4.56%,6.98%
31,Missouri,6.99%,5.91%,8.24%,14.28%,12.00%,16.91%,10.35%,8.57%,12.44%,6.43%,5.25%,7.85%
32,Montana,7.79%,6.67%,9.08%,13.56%,11.42%,16.03%,11.45%,9.49%,13.74%,7.19%,5.96%,8.66%
33,Nebraska,6.96%,5.90%,8.20%,12.97%,10.86%,15.41%,11.04%,9.05%,13.41%,6.23%,5.07%,7.64%
34,Nevada,7.35%,6.16%,8.74%,15.66%,13.17%,18.52%,10.73%,8.79%,13.05%,6.84%,5.53%,8.43%
35,New Hampshire,7.98%,6.77%,9.38%,13.40%,11.24%,15.88%,13.17%,10.94%,15.76%,7.17%,5.84%,8.76%
36,New Jersey,6.13%,5.20%,7.22%,10.39%,8.73%,12.32%,10.05%,8.37%,12.03%,5.55%,4.55%,6.76%
37,New Mexico,6.71%,5.64%,7.97%,12.61%,10.45%,15.15%,9.36%,7.59%,11.49%,6.27%,5.08%,7.71%
38,New York,6.68%,6.00%,7.44%,11.91%,10.57%,13.40%,10.65%,9.32%,12.15%,6.02%,5.27%,6.88%
39,North Carolina,7.07%,6.15%,8.12%,11.70%,9.93%,13.75%,9.05%,7.54%,10.84%,6.75%,5.72%,7.95%
40,North Dakota,6.80%,5.80%,7.95%,11.25%,9.24%,13.64%,10.33%,8.50%,12.50%,6.03%,4.91%,7.39%
41,Ohio,7.85%,6.95%,8.84%,13.98%,12.36%,15.77%,11.50%,10.05%,13.13%,7.26%,6.28%,8.38%
42,Oklahoma,7.50%,6.37%,8.82%,13.53%,11.39%,15.99%,10.29%,8.41%,12.53%,7.02%,5.77%,8.52%
43,Oregon,7.89%,6.80%,9.14%,15.66%,13.34%,18.29%,13.41%,11.23%,15.94%,7.05%,5.86%,8.44%
44,Pennsylvania,6.83%,6.05%,7.69%,12.33%,10.87%,13.97%,11.02%,9.59%,12.65%,6.17%,5.32%,7.15%
45,Rhode Island,7.23%,6.12%,8.54%,13.72%,11.39%,16.44%,11.17%,9.14%,13.60%,6.52%,5.32%,7.97%
46,South Carolina,6.52%,5.50%,7.71%,10.83%,8.97%,13.01%,9.06%,7.35%,11.10%,6.11%,5.00%,7.45%
47,South Dakota,6.86%,5.83%,8.06%,11.79%,9.82%,14.10%,10.90%,9.02%,13.13%,6.16%,5.03%,7.53%
48,Tennessee,7.06%,6.02%,8.28%,12.13%,10.13%,14.47%,11.12%,9.28%,13.27%,6.41%,5.28%,7.76%
49,Texas,5.68%,5.06%,6.37%,11.95%,10.59%,13.46%,9.11%,7.94%,10.42%,5.05%,4.38%,5.83%
50,Utah,7.78%,6.72%,9.00%,13.81%,11.57%,16.41%,10.74%,8.78%,13.08%,7.12%,5.93%,8.52%
51,Vermont,7.60%,6.45%,8.95%,12.45%,10.41%,14.83%,12.10%,9.86%,14.75%,6.82%,5.56%,8.34%
52,Virginia,7.94%,6.94%,9.06%,12.56%,10.72%,14.67%,11.88%,10.10%,13.91%,7.29%,6.20%,8.57%
53,Washington,7.68%,6.50%,9.06%,13.23%,11.04%,15.79%,12.10%,9.99%,14.59%,6.98%,5.68%,8.55%
54,West Virginia,8.26%,7.01%,9.72%,13.90%,11.67%,16.48%,11.76%,9.71%,14.16%,7.75%,6.37%,9.40%
55,Wisconsin,6.74%,5.71%,7.94%,14.45%,12.12%,17.14%,11.97%,9.93%,14.38%,5.88%,4.76%,7.24%
56,Wyoming,7.54%,6.41%,8.86%,15.00%,12.54%,17.85%,12.71%,10.62%,15.15%,6.69%,5.45%,8.18%
