"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","234349","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","239414","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","241498","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","236159","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","232563","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","226636","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","223768","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","221378","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","221451","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","222099","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","223055","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","223615","."
"Males","All Races","Arizona","Both","00-04 yrs","1999","2017","Suicide Injury","","P","4203074","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","92533","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","92566","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","93199","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","93440","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","94363","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","95789","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","97390","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","98603","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","99921","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","100629","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","101093","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","100950","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","100202","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","99263","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","98062","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","97908","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","98123","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","98352","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","98313","."
"Males","All Races","Arkansas","Both","00-04 yrs","1999","2017","Suicide Injury","","P","1850699","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","1285758","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","1275414","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","1274169","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","1274912","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","1288254","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","1299939","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","1306586","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","1297428","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","1301521","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","1309307","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","1300980","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","1294056","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","1295635","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","1286575","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","1278531","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","1281659","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","1283498","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","1271361","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","1264710","."
"Males","All Races","California","Both","00-04 yrs","1999","2017","Suicide Injury","","P","24470293","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","149085","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","153121","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","157900","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","161663","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","164954","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","166756","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","169234","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","171290","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","173780","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","175524","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","176517","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","176361","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","175191","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","173511","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","171457","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","170757","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","171026","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","171010","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","171503","."
"Males","All Races","Colorado","Both","00-04 yrs","1999","2017","Suicide Injury","","P","3200640","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","113898","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","114080","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","112664","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","111332","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","111267","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","110054","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","108196","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","106965","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","106046","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","105096","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","103801","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","103477","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","101156","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","99191","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","97276","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","96349","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","95329","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","94220","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","93818","."
"Males","All Races","Connecticut","Both","00-04 yrs","1999","2017","Suicide Injury","","P","1984215","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","26061","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","26307","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","26420","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","26822","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","27182","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","27638","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","28016","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","28108","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","28351","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","28503","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","28591","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","28415","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","28375","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","28584","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","28409","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","28241","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","28258","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","28040","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","27876","."
"Males","All Races","Delaware","Both","00-04 yrs","1999","2017","Suicide Injury","","P","528197","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","16684","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","16405","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","16465","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","16433","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","16010","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","16202","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","16296","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","15892","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","16308","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","16588","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","16709","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","16533","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","18504","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","19782","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","20973","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","21856","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","22498","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","22522","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","22851","."
"Males","All Races","District of Columbia","Both","00-04 yrs","1999","2017","Suicide Injury","","P","345511","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","482646","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","485586","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","495403","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","506555","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","517552","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","531516","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","546474","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","552399","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","554905","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","554325","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","550672","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","547985","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","547755","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","547695","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","548125","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","556162","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","567515","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","576476","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","582263","."
"Males","All Races","Florida","Both","00-04 yrs","1999","2017","Suicide Injury","","P","10252009","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","297895","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","305041","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","313586","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","320970","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","327165","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","334152","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","341559","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","346564","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","354372","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","357761","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","354040","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","350674","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","346710","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","342435","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","336896","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","335576","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","335899","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","336081","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","336237","."
"Males","All Races","Georgia","Both","00-04 yrs","1999","2017","Suicide Injury","","P","6373613","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","40922","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","39979","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","39930","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","40221","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","40904","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","42100","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","42690","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","43498","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","44657","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","45253","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","45304","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","45019","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","46408","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","46752","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","47152","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","47552","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","47703","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","46900","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","46357","."
"Males","All Races","Hawaii","Both","00-04 yrs","1999","2017","Suicide Injury","","P","839301","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","49302","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","50170","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","51288","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","52111","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","53226","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","54893","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","56822","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","58601","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","60903","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","62344","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","62352","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","62468","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","61033","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","59633","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","58227","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","57831","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","57892","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","58461","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","59664","."
"Males","All Races","Idaho","Both","00-04 yrs","1999","2017","Suicide Injury","","P","1087221","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","450679","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","447589","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","446333","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","445741","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","445355","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","445259","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","442699","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","436340","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2007","P","434686","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2008","P","432158","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2009","P","428430","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2010","P","425901","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2011","P","420604","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2012","P","414961","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2013","P","408909","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2014","P","405476","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2015","P","402183","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2016","P","398103","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","2017","P","395254","."
"Males","All Races","Illinois","Both","00-04 yrs","1999","2017","Suicide Injury","","P","8126660","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","1999","P","215427","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","2000","P","216444","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","2001","P","217266","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","2002","P","217292","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","2003","P","217849","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","2004","P","219382","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","2005","P","219722","."
"Males","All Races","Indiana","Both","00-04 yrs","1999","2017","Suicide Injury","2006","P","220080","."
