Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),12-17 Estimate,12-17  95% CI (Lower),12-17  95% CI (Upper),18-25 Estimate,18-25  95% CI (Lower),18-25  95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
33,Nebraska,7.21%,6.11%,8.49%,12.25%,10.19%,14.67%,10.84%,8.82%,13.25%,6.56%,5.35%,8.01%
34,Nevada,6.93%,5.76%,8.31%,13.94%,11.58%,16.68%,9.65%,7.77%,11.93%,6.51%,5.24%,8.06%
35,New Hampshire,8.71%,7.41%,10.21%,13.43%,11.26%,15.95%,13.21%,10.87%,15.96%,8.00%,6.61%,9.65%
36,New Jersey,6.47%,5.58%,7.48%,10.32%,8.69%,12.22%,10.18%,8.53%,12.11%,5.91%,4.95%,7.05%
37,New Mexico,6.59%,5.51%,7.87%,11.50%,9.53%,13.82%,8.59%,6.84%,10.73%,6.25%,5.06%,7.69%
38,New York,6.52%,5.85%,7.26%,11.92%,10.56%,13.44%,10.12%,8.83%,11.57%,5.91%,5.18%,6.73%
39,North Carolina,7.47%,6.47%,8.62%,12.35%,10.58%,14.36%,9.62%,8.01%,11.52%,7.12%,6.01%,8.42%
40,North Dakota,6.37%,5.41%,7.49%,10.47%,8.66%,12.60%,9.47%,7.65%,11.67%,5.68%,4.64%,6.94%
41,Ohio,7.74%,6.92%,8.66%,11.85%,10.43%,13.44%,11.18%,9.71%,12.83%,7.19%,6.28%,8.21%
42,Oklahoma,6.83%,5.78%,8.05%,12.57%,10.35%,15.20%,9.45%,7.55%,11.77%,6.36%,5.21%,7.75%
43,Oregon,7.51%,6.41%,8.79%,14.33%,12.04%,16.97%,11.61%,9.53%,14.07%,6.88%,5.70%,8.29%
44,Pennsylvania,6.89%,6.11%,7.77%,11.64%,10.18%,13.28%,10.83%,9.39%,12.45%,6.26%,5.41%,7.24%
45,Rhode Island,7.08%,5.93%,8.43%,13.03%,10.76%,15.70%,9.81%,7.89%,12.14%,6.57%,5.32%,8.08%
46,South Carolina,6.48%,5.50%,7.61%,10.96%,9.13%,13.10%,8.67%,7.02%,10.67%,6.12%,5.04%,7.41%
47,South Dakota,6.11%,5.17%,7.21%,9.90%,8.07%,12.09%,9.25%,7.44%,11.44%,5.56%,4.54%,6.79%
48,Tennessee,6.97%,5.89%,8.23%,10.92%,8.99%,13.19%,9.58%,7.77%,11.74%,6.54%,5.37%,7.95%
49,Texas,5.68%,5.08%,6.36%,11.53%,10.22%,12.99%,8.15%,7.03%,9.43%,5.23%,4.56%,5.99%
50,Utah,7.02%,6.02%,8.18%,11.97%,10.05%,14.21%,10.21%,8.36%,12.42%,6.29%,5.20%,7.60%
51,Vermont,7.93%,6.70%,9.36%,12.06%,10.05%,14.41%,10.45%,8.41%,12.91%,7.49%,6.13%,9.11%
52,Virginia,7.93%,6.87%,9.13%,12.47%,10.63%,14.57%,10.58%,8.85%,12.59%,7.49%,6.32%,8.85%
53,Washington,7.50%,6.35%,8.84%,12.54%,10.32%,15.14%,12.52%,10.22%,15.25%,6.70%,5.45%,8.20%
54,West Virginia,8.29%,6.95%,9.86%,13.26%,11.09%,15.79%,10.61%,8.55%,13.09%,7.95%,6.47%,9.72%
55,Wisconsin,6.56%,5.52%,7.78%,13.64%,11.42%,16.22%,10.61%,8.64%,12.97%,5.89%,4.77%,7.25%
56,Wyoming,7.51%,6.39%,8.81%,13.31%,11.14%,15.84%,10.80%,8.76%,13.23%,6.95%,5.73%,8.41%
