Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),18-25 Estimate,18-25  95% CI (Lower),18-25  95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
30,Mississippi,4.13%,3.39%,5.03%,6.97%,5.60%,8.65%,3.62%,2.83%,4.62%
31,Missouri,3.92%,3.24%,4.74%,7.67%,6.22%,9.43%,3.29%,2.59%,4.18%
32,Montana,4.95%,4.06%,6.02%,8.96%,7.32%,10.92%,4.29%,3.35%,5.47%
33,Nebraska,4.18%,3.46%,5.04%,8.27%,6.73%,10.12%,3.45%,2.71%,4.37%
34,Nevada,4.45%,3.64%,5.42%,8.56%,6.91%,10.57%,3.82%,2.99%,4.86%
35,New Hampshire,4.94%,4.04%,6.04%,10.56%,8.55%,12.98%,4.06%,3.14%,5.24%
36,New Jersey,3.78%,3.17%,4.50%,8.10%,6.71%,9.74%,3.13%,2.50%,3.91%
37,New Mexico,4.08%,3.32%,5.00%,7.93%,6.33%,9.89%,3.42%,2.65%,4.42%
38,New York,3.85%,3.35%,4.43%,8.00%,6.85%,9.32%,3.15%,2.64%,3.76%
39,North Carolina,4.20%,3.53%,4.99%,7.28%,6.00%,8.82%,3.69%,2.99%,4.55%
40,North Dakota,3.95%,3.31%,4.71%,8.01%,6.53%,9.81%,3.04%,2.39%,3.85%
41,Ohio,4.64%,4.01%,5.36%,8.52%,7.22%,10.04%,4.01%,3.35%,4.80%
42,Oklahoma,3.97%,3.27%,4.83%,7.74%,6.24%,9.57%,3.31%,2.58%,4.22%
43,Oregon,4.37%,3.61%,5.28%,10.09%,8.23%,12.31%,3.49%,2.72%,4.47%
44,Pennsylvania,4.10%,3.57%,4.72%,8.64%,7.41%,10.06%,3.38%,2.82%,4.05%
45,Rhode Island,4.42%,3.60%,5.42%,8.62%,6.91%,10.70%,3.65%,2.81%,4.73%
46,South Carolina,3.73%,3.04%,4.57%,6.87%,5.49%,8.56%,3.21%,2.50%,4.11%
47,South Dakota,3.66%,3.00%,4.46%,7.33%,5.87%,9.11%,3.02%,2.35%,3.87%
48,Tennessee,4.26%,3.53%,5.13%,7.59%,6.09%,9.41%,3.72%,2.96%,4.65%
49,Texas,3.46%,3.02%,3.96%,7.28%,6.26%,8.44%,2.76%,2.31%,3.29%
50,Utah,5.25%,4.39%,6.27%,9.95%,8.09%,12.18%,4.18%,3.31%,5.27%
51,Vermont,4.59%,3.77%,5.58%,7.94%,6.33%,9.92%,4.01%,3.14%,5.10%
52,Virginia,3.94%,3.36%,4.61%,8.06%,6.67%,9.72%,3.25%,2.66%,3.97%
53,Washington,4.54%,3.74%,5.51%,9.49%,7.72%,11.62%,3.75%,2.95%,4.76%
54,West Virginia,4.23%,3.46%,5.17%,7.69%,6.11%,9.63%,3.71%,2.91%,4.72%
55,Wisconsin,4.18%,3.45%,5.05%,8.30%,6.74%,10.18%,3.50%,2.75%,4.44%
56,Wyoming,4.14%,3.44%,4.97%,8.37%,6.75%,10.34%,3.42%,2.72%,4.30%
