Order,State,18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper)
31,Missouri,3.47%,2.75%,4.37%,7.18%,5.62%,9.14%,2.86%,2.15%,3.80%
32,Montana,5.29%,4.36%,6.40%,10.47%,8.51%,12.81%,4.45%,3.50%,5.64%
33,Nebraska,4.42%,3.59%,5.42%,8.12%,6.47%,10.13%,3.76%,2.91%,4.85%
34,Nevada,4.29%,3.46%,5.30%,8.90%,7.16%,11.02%,3.60%,2.76%,4.68%
35,New Hampshire,5.01%,4.08%,6.13%,10.26%,8.29%,12.62%,4.18%,3.24%,5.38%
36,New Jersey,3.58%,2.95%,4.34%,8.47%,6.98%,10.24%,2.85%,2.22%,3.66%
37,New Mexico,4.28%,3.44%,5.31%,8.88%,7.11%,11.03%,3.50%,2.66%,4.60%
38,New York,3.94%,3.42%,4.53%,8.82%,7.62%,10.20%,3.13%,2.59%,3.77%
39,North Carolina,4.23%,3.50%,5.11%,7.71%,6.30%,9.40%,3.67%,2.91%,4.62%
40,North Dakota,4.17%,3.42%,5.08%,8.47%,6.81%,10.50%,3.24%,2.50%,4.18%
41,Ohio,4.47%,3.86%,5.16%,9.27%,7.97%,10.75%,3.70%,3.07%,4.45%
42,Oklahoma,3.77%,3.03%,4.69%,7.54%,5.88%,9.61%,3.12%,2.38%,4.08%
43,Oregon,5.07%,4.19%,6.11%,11.52%,9.40%,14.05%,4.09%,3.21%,5.19%
44,Pennsylvania,4.41%,3.80%,5.12%,9.05%,7.68%,10.64%,3.69%,3.06%,4.44%
45,Rhode Island,4.49%,3.65%,5.51%,9.55%,7.60%,11.93%,3.57%,2.75%,4.64%
46,South Carolina,3.73%,3.00%,4.64%,7.25%,5.70%,9.17%,3.17%,2.43%,4.13%
47,South Dakota,3.82%,3.07%,4.75%,7.47%,5.83%,9.52%,3.19%,2.43%,4.17%
48,Tennessee,4.55%,3.73%,5.53%,8.33%,6.68%,10.33%,3.94%,3.11%,4.98%
49,Texas,3.51%,3.05%,4.03%,8.38%,7.21%,9.72%,2.62%,2.17%,3.16%
50,Utah,5.62%,4.68%,6.75%,10.49%,8.44%,12.98%,4.52%,3.57%,5.71%
51,Vermont,5.48%,4.46%,6.71%,10.34%,8.19%,12.97%,4.64%,3.62%,5.92%
52,Virginia,3.96%,3.30%,4.76%,8.57%,7.07%,10.35%,3.21%,2.55%,4.05%
53,Washington,4.73%,3.85%,5.81%,9.67%,7.88%,11.82%,3.96%,3.05%,5.11%
54,West Virginia,4.31%,3.45%,5.36%,8.72%,7.03%,10.77%,3.66%,2.79%,4.79%
55,Wisconsin,4.41%,3.61%,5.39%,9.41%,7.64%,11.55%,3.59%,2.77%,4.64%
56,Wyoming,4.14%,3.38%,5.06%,8.66%,6.98%,10.70%,3.39%,2.64%,4.36%
